Emp Name,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
ALBERTO PEDRUCO,51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,1,Female,1,Healthcare Representative,Married,131160,1,Y,11,8,0,1,6,1,0,0
LAWRENCE LEE,31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,1,2,Female,1,Research Scientist,Single,41890,0,Y,23,8,1,6,3,5,1,4
DWAYNE CURRY,32,No,Travel_Frequently,Research & Development,17,4,Other,1,3,Male,4,Sales Executive,Married,193280,1,Y,15,8,3,5,2,5,0,3
RENEE MARQUARDT,38,No,Non-Travel,Research & Development,2,5,Life Sciences,1,4,Male,3,Human Resources,Married,83210,3,Y,11,8,3,13,5,8,7,5
HARVEY ELWIN,32,No,Travel_Rarely,Research & Development,10,1,Medical,1,5,Male,1,Sales Executive,Single,23420,4,Y,12,8,2,9,2,6,0,4
LEON WHITE,46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,6,Female,4,Research Director,Married,40710,3,Y,13,8,0,28,5,7,7,7
DENNIS HERRERA,28,Yes,Travel_Rarely,Research & Development,11,2,Medical,1,7,Male,2,Sales Executive,Single,58130,2,Y,20,8,1,5,2,0,0,0
DONALD BRYANT,29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,8,Male,2,Sales Executive,Married,31430,2,Y,22,8,3,10,2,0,0,0
NATHAN HARDY,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,9,Male,3,Laboratory Technician,Married,20440,0,Y,21,8,0,10,2,9,7,8
SUSAN BUCHBINDER,25,No,Non-Travel,Research & Development,7,4,Medical,1,10,Female,4,Laboratory Technician,Divorced,134640,1,Y,13,8,1,6,2,6,1,5
KIRSTEN BARASH,45,No,Travel_Rarely,Research & Development,17,2,Medical,1,11,Male,2,Laboratory Technician,Married,79910,0,Y,13,8,2,21,2,20,4,10
DENNIS SUTTER,36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,12,Male,1,Laboratory Technician,Married,33770,0,Y,12,8,2,16,2,15,10,11
